machine_id,line_id,downtime_start_ts,downtime_hours,reason
MCH0001,LINE-A,2026-07-09T09:40:00,0.69,Equipment Failure
MCH0001,LINE-A,2026-07-18T16:40:00,2.65,Unplanned Maintenance
MCH0001,LINE-A,2026-07-29T00:40:00,0.58,Unplanned Maintenance
MCH0001,LINE-A,2026-08-04T11:20:00,1.81,Material Shortage
MCH0001,LINE-A,2026-07-16T01:40:00,0.71,Quality Hold
MCH0001,LINE-A,2026-07-26T01:20:00,2.0,Quality Hold
MCH0001,LINE-A,2026-07-03T17:00:00,0.63,Quality Hold
MCH0002,LINE-A,2026-07-10T13:30:00,2.2,Unplanned Maintenance
MCH0002,LINE-A,2026-07-24T20:30:00,1.17,Equipment Failure
MCH0002,LINE-A,2026-07-16T01:00:00,1.6,Operator Break
MCH0002,LINE-A,2026-07-26T21:30:00,1.34,Material Shortage
MCH0002,LINE-A,2026-07-02T17:40:00,0.69,Material Shortage
MCH0002,LINE-A,2026-08-03T09:10:00,0.68,Material Shortage
MCH0002,LINE-A,2026-07-10T17:20:00,0.4,Quality Hold
MCH0002,LINE-A,2026-07-27T16:20:00,1.8,Quality Hold
MCH0002,LINE-A,2026-08-09T18:50:00,0.42,Changeover
MCH0002,LINE-A,2026-07-21T05:40:00,1.49,Material Shortage
MCH0003,LINE-A,2026-07-20T08:30:00,1.39,Unplanned Maintenance
MCH0003,LINE-A,2026-07-28T12:40:00,1.57,Equipment Failure
MCH0003,LINE-A,2026-08-07T02:40:00,1.58,Changeover
MCH0003,LINE-A,2026-07-10T21:50:00,1.15,Material Shortage
MCH0003,LINE-A,2026-07-16T10:10:00,1.34,Operator Break
MCH0003,LINE-A,2026-07-10T03:40:00,0.65,Quality Hold
MCH0003,LINE-A,2026-07-06T10:00:00,1.13,Quality Hold
MCH0003,LINE-A,2026-07-23T21:00:00,0.76,Operator Break
MCH0004,LINE-B,2026-07-14T02:50:00,1.32,Unplanned Maintenance
MCH0004,LINE-B,2026-08-03T19:00:00,2.58,Unplanned Maintenance
MCH0004,LINE-B,2026-07-28T06:50:00,1.8,Operator Break
MCH0004,LINE-B,2026-07-20T10:50:00,1.44,Material Shortage
MCH0004,LINE-B,2026-08-05T23:00:00,1.92,Material Shortage
MCH0004,LINE-B,2026-08-11T19:30:00,1.8,Material Shortage
MCH0004,LINE-B,2026-08-07T20:50:00,0.37,Material Shortage
MCH0004,LINE-B,2026-07-30T05:10:00,0.89,Quality Hold
MCH0004,LINE-B,2026-07-18T21:00:00,1.85,Changeover
MCH0004,LINE-B,2026-07-26T03:40:00,1.57,Changeover
MCH0005,LINE-B,2026-07-11T19:00:00,3.75,Equipment Failure
MCH0005,LINE-B,2026-07-20T16:40:00,0.93,Equipment Failure
MCH0005,LINE-B,2026-07-28T08:10:00,2.34,Unplanned Maintenance
MCH0005,LINE-B,2026-08-07T03:10:00,2.45,Unplanned Maintenance
MCH0005,LINE-B,2026-07-02T02:00:00,1.23,Operator Break
MCH0005,LINE-B,2026-07-25T09:40:00,1.0,Material Shortage
