machine_id,line_id,machine_type,install_date
MCH0001,LINE-A,Injection Molder,2021-03-21
MCH0002,LINE-A,Injection Molder,2025-06-15
MCH0003,LINE-A,CNC Mill,2023-10-30
MCH0004,LINE-B,CNC Mill,2025-09-04
MCH0005,LINE-B,Stamping Press,2024-10-05
MCH0006,LINE-B,CNC Mill,2024-12-22
MCH0007,LINE-C,Injection Molder,2025-06-27
MCH0008,LINE-C,CNC Mill,2023-08-26
MCH0009,LINE-C,CNC Mill,2023-12-22
MCH0010,LINE-D,Injection Molder,2022-10-22
MCH0011,LINE-D,CNC Mill,2023-04-15
MCH0012,LINE-D,Stamping Press,2021-12-26
