machine_id,line_id,measured_ts,part_dimension_mm,in_spec
MCH0001,LINE-A,2026-07-01T00:00:00,49.9076,1
MCH0001,LINE-A,2026-07-01T00:40:00,49.9825,1
MCH0001,LINE-A,2026-07-01T01:20:00,50.0229,1
MCH0001,LINE-A,2026-07-01T02:00:00,49.9258,1
MCH0001,LINE-A,2026-07-01T02:40:00,50.0074,1
MCH0001,LINE-A,2026-07-01T03:20:00,50.0703,1
MCH0001,LINE-A,2026-07-01T04:00:00,50.1227,1
MCH0001,LINE-A,2026-07-01T04:40:00,49.9935,1
MCH0001,LINE-A,2026-07-01T05:20:00,49.9248,1
MCH0001,LINE-A,2026-07-01T06:00:00,49.994,1
MCH0001,LINE-A,2026-07-01T06:40:00,50.0554,1
MCH0001,LINE-A,2026-07-01T07:20:00,50.0439,1
MCH0001,LINE-A,2026-07-01T08:00:00,50.1039,1
MCH0001,LINE-A,2026-07-01T08:40:00,50.0214,1
MCH0001,LINE-A,2026-07-01T09:20:00,49.9695,1
MCH0001,LINE-A,2026-07-01T10:00:00,49.9674,1
MCH0001,LINE-A,2026-07-01T10:40:00,50.0712,1
MCH0001,LINE-A,2026-07-01T11:20:00,49.9773,1
MCH0001,LINE-A,2026-07-01T12:00:00,50.0696,1
MCH0001,LINE-A,2026-07-01T12:40:00,50.0362,1
MCH0001,LINE-A,2026-07-01T13:20:00,49.8901,1
MCH0001,LINE-A,2026-07-01T14:00:00,50.0143,1
MCH0001,LINE-A,2026-07-01T14:40:00,50.089,1
MCH0001,LINE-A,2026-07-01T15:20:00,50.0838,1
MCH0001,LINE-A,2026-07-01T16:00:00,50.0942,1
MCH0001,LINE-A,2026-07-01T16:40:00,50.1592,1
MCH0001,LINE-A,2026-07-01T17:20:00,50.1383,1
MCH0001,LINE-A,2026-07-01T18:00:00,50.0409,1
MCH0001,LINE-A,2026-07-01T18:40:00,50.0056,1
MCH0001,LINE-A,2026-07-01T19:20:00,50.0193,1
MCH0001,LINE-A,2026-07-01T20:00:00,50.071,1
MCH0001,LINE-A,2026-07-01T20:40:00,50.0604,1
MCH0001,LINE-A,2026-07-01T21:20:00,50.0327,1
MCH0001,LINE-A,2026-07-01T22:00:00,50.0414,1
MCH0001,LINE-A,2026-07-01T22:40:00,50.0148,1
MCH0001,LINE-A,2026-07-01T23:20:00,50.0142,1
MCH0001,LINE-A,2026-07-02T00:00:00,50.1382,1
MCH0001,LINE-A,2026-07-02T00:40:00,50.0623,1
MCH0001,LINE-A,2026-07-02T01:20:00,50.0622,1
MCH0001,LINE-A,2026-07-02T02:00:00,50.01,1
MCH0001,LINE-A,2026-07-02T02:40:00,50.0711,1
MCH0001,LINE-A,2026-07-02T03:20:00,50.0598,1
MCH0001,LINE-A,2026-07-02T04:00:00,50.0752,1
MCH0001,LINE-A,2026-07-02T04:40:00,50.1235,1
MCH0001,LINE-A,2026-07-02T05:20:00,50.0129,1
MCH0001,LINE-A,2026-07-02T06:00:00,50.0159,1
MCH0001,LINE-A,2026-07-02T06:40:00,50.062,1
MCH0001,LINE-A,2026-07-02T07:20:00,50.0325,1
MCH0001,LINE-A,2026-07-02T08:00:00,50.1966,1
MCH0001,LINE-A,2026-07-02T08:40:00,50.0455,1
MCH0001,LINE-A,2026-07-02T09:20:00,50.1587,1
MCH0001,LINE-A,2026-07-02T10:00:00,50.0884,1
MCH0001,LINE-A,2026-07-02T10:40:00,50.0919,1
MCH0001,LINE-A,2026-07-02T11:20:00,50.1075,1
MCH0001,LINE-A,2026-07-02T12:00:00,50.0517,1
MCH0001,LINE-A,2026-07-02T12:40:00,50.0134,1
MCH0001,LINE-A,2026-07-02T13:20:00,50.0271,1
MCH0001,LINE-A,2026-07-02T14:00:00,50.0947,1
MCH0001,LINE-A,2026-07-02T14:40:00,50.1286,1
MCH0001,LINE-A,2026-07-02T15:20:00,50.0902,1
MCH0001,LINE-A,2026-07-02T16:00:00,50.0564,1
MCH0001,LINE-A,2026-07-02T16:40:00,50.1581,1
MCH0001,LINE-A,2026-07-02T17:20:00,50.1378,1
MCH0001,LINE-A,2026-07-02T18:00:00,50.1488,1
MCH0001,LINE-A,2026-07-02T18:40:00,50.0745,1
MCH0001,LINE-A,2026-07-02T19:20:00,50.0257,1
MCH0001,LINE-A,2026-07-02T20:00:00,50.1009,1
MCH0001,LINE-A,2026-07-02T20:40:00,50.1927,1
MCH0001,LINE-A,2026-07-02T21:20:00,50.1484,1
MCH0001,LINE-A,2026-07-02T22:00:00,50.1696,1
MCH0001,LINE-A,2026-07-02T22:40:00,50.0992,1
MCH0001,LINE-A,2026-07-02T23:20:00,50.155,1
MCH0001,LINE-A,2026-07-03T00:00:00,50.242,1
MCH0001,LINE-A,2026-07-03T00:40:00,50.1543,1
MCH0001,LINE-A,2026-07-03T01:20:00,50.1431,1
MCH0001,LINE-A,2026-07-03T02:00:00,50.1425,1
MCH0001,LINE-A,2026-07-03T02:40:00,50.1257,1
MCH0001,LINE-A,2026-07-03T03:20:00,50.1429,1
MCH0001,LINE-A,2026-07-03T04:00:00,50.156,1
MCH0001,LINE-A,2026-07-03T04:40:00,50.1064,1
MCH0001,LINE-A,2026-07-03T05:20:00,50.1238,1
MCH0001,LINE-A,2026-07-03T06:00:00,50.1757,1
MCH0001,LINE-A,2026-07-03T06:40:00,50.243,1
MCH0001,LINE-A,2026-07-03T07:20:00,50.1787,1
MCH0001,LINE-A,2026-07-03T08:00:00,50.2363,1
