machine_id,line_id,reading_ts,temperature_c,vibration_mm_s,pressure_psi,latent_wear,will_fail_within_6h
MCH0001,LINE-A,2026-07-01T00:00:00,64.71,0.857,104.81,0.0,0
MCH0001,LINE-A,2026-07-01T00:10:00,64.03,0.845,106.48,0.0009,0
MCH0001,LINE-A,2026-07-01T00:20:00,65.91,0.814,101.29,0.002,0
MCH0001,LINE-A,2026-07-01T00:30:00,66.61,0.874,102.58,0.0031,0
MCH0001,LINE-A,2026-07-01T00:40:00,67.79,0.789,104.32,0.0044,0
MCH0001,LINE-A,2026-07-01T00:50:00,67.36,0.83,103.86,0.0058,0
MCH0001,LINE-A,2026-07-01T01:00:00,66.78,0.774,101.86,0.0067,0
MCH0001,LINE-A,2026-07-01T01:10:00,65.8,0.979,105.24,0.0073,0
MCH0001,LINE-A,2026-07-01T01:20:00,66.69,0.973,104.9,0.0084,0
MCH0001,LINE-A,2026-07-01T01:30:00,65.85,0.923,103.6,0.0095,0
MCH0001,LINE-A,2026-07-01T01:40:00,65.38,1.112,104.46,0.011,0
MCH0001,LINE-A,2026-07-01T01:50:00,67.88,1.071,104.97,0.0117,0
MCH0001,LINE-A,2026-07-01T02:00:00,65.97,1.008,105.1,0.0128,0
MCH0001,LINE-A,2026-07-01T02:10:00,66.91,1.024,105.94,0.014,0
MCH0001,LINE-A,2026-07-01T02:20:00,65.54,0.71,104.92,0.0147,0
MCH0001,LINE-A,2026-07-01T02:30:00,67.67,0.871,106.2,0.0155,0
MCH0001,LINE-A,2026-07-01T02:40:00,65.94,0.865,103.18,0.0165,0
MCH0001,LINE-A,2026-07-01T02:50:00,66.84,0.93,103.4,0.0177,0
MCH0001,LINE-A,2026-07-01T03:00:00,65.89,0.857,105.46,0.0183,0
MCH0001,LINE-A,2026-07-01T03:10:00,65.83,0.89,101.88,0.0189,0
MCH0001,LINE-A,2026-07-01T03:20:00,65.75,0.873,105.98,0.0195,0
MCH0001,LINE-A,2026-07-01T03:30:00,65.77,0.859,107.16,0.0204,0
MCH0001,LINE-A,2026-07-01T03:40:00,65.09,1.004,105.45,0.0212,0
MCH0001,LINE-A,2026-07-01T03:50:00,67.29,0.929,105.31,0.0217,0
MCH0001,LINE-A,2026-07-01T04:00:00,63.99,1.026,108.08,0.0229,0
MCH0001,LINE-A,2026-07-01T04:10:00,66.51,1.014,102.39,0.0235,0
MCH0001,LINE-A,2026-07-01T04:20:00,68.45,0.955,105.34,0.024,0
MCH0001,LINE-A,2026-07-01T04:30:00,67.45,1.044,105.87,0.0246,0
MCH0001,LINE-A,2026-07-01T04:40:00,66.83,0.92,105.09,0.0252,0
MCH0001,LINE-A,2026-07-01T04:50:00,65.23,0.891,103.0,0.0257,0
MCH0001,LINE-A,2026-07-01T05:00:00,67.47,0.969,105.0,0.0264,0
MCH0001,LINE-A,2026-07-01T05:10:00,66.39,0.869,101.38,0.0275,0
MCH0001,LINE-A,2026-07-01T05:20:00,65.88,0.958,109.52,0.0283,0
MCH0001,LINE-A,2026-07-01T05:30:00,66.35,0.973,105.55,0.0291,0
MCH0001,LINE-A,2026-07-01T05:40:00,65.07,0.973,104.47,0.0302,0
MCH0001,LINE-A,2026-07-01T05:50:00,67.84,1.017,106.87,0.0312,0
MCH0001,LINE-A,2026-07-01T06:00:00,66.76,1.099,104.34,0.0324,0
