line_id,subgroup_start_ts,xbar,range,ucl_xbar,lcl_xbar,centerline_xbar,out_of_control
LINE-A,2026-07-01T00:00:00,49.9345,0.1037,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T00:40:00,49.9792,0.0971,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T02:00:00,49.9746,0.1223,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T03:20:00,50.0325,0.191,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T04:00:00,50.0111,0.1575,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T05:20:00,50.0075,0.1446,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T06:40:00,50.0205,0.0884,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T07:20:00,49.9882,0.1912,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T08:40:00,50.0071,0.0543,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T10:00:00,50.0018,0.1556,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T10:40:00,49.9941,0.1249,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T12:00:00,50.0441,0.0663,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T13:20:00,50.0038,0.1702,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T14:00:00,50.0429,0.0881,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T15:20:00,50.0611,0.0968,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T16:40:00,50.0833,0.1893,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T17:20:00,50.0774,0.2019,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T18:40:00,49.9959,0.1064,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T20:00:00,50.0566,0.1139,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T20:40:00,50.0232,0.0685,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T22:00:00,50.0707,0.0987,50.4457,50.1431,50.2944,1
LINE-A,2026-07-01T23:20:00,50.0662,0.124,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T00:00:00,50.0522,0.0538,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T01:20:00,50.0832,0.1782,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T02:40:00,50.039,0.0704,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T03:20:00,50.0498,0.1212,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T04:40:00,50.0471,0.0658,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T06:00:00,50.067,0.1498,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T06:40:00,50.0817,0.1834,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T08:00:00,50.0878,0.1706,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T09:20:00,50.0677,0.1603,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T10:00:00,50.0922,0.0885,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T11:20:00,50.0779,0.1083,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T12:40:00,50.0508,0.1032,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T13:20:00,50.0768,0.1226,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T14:40:00,50.0871,0.056,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T16:00:00,50.1347,0.1436,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T16:40:00,50.1214,0.0959,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T18:00:00,50.1144,0.1227,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T19:20:00,50.0884,0.1174,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T20:00:00,50.1027,0.143,50.4457,50.1431,50.2944,1
LINE-A,2026-07-02T21:20:00,50.1119,0.1857,50.4457,50.1431,50.2944,1
